cell_id,p_hotspot_next
3579.0_167.0,0.16398242
3599.0_142.0,0.16393109
3634.0_277.0,0.16373037
3599.0_307.0,0.1636061
3474.0_442.0,0.16332735
3449.0_327.0,0.16312963
3574.0_207.0,0.16258651
3429.0_437.0,0.16242465
3604.0_322.0,0.16236398
3519.0_447.0,0.16235209
3559.0_192.0,0.16223992
3569.0_292.0,0.16210544
3634.0_117.0,0.16206956
3629.0_152.0,0.16176705
3634.0_227.0,0.16163905
3454.0_337.0,0.1614781
3644.0_222.0,0.16095217
3559.0_352.0,0.16055506
3504.0_452.0,0.16054769
3564.0_282.0,0.16023399
3649.0_252.0,0.15988302
3544.0_357.0,0.15980627
3589.0_157.0,0.15965982
3594.0_322.0,0.15902805
3574.0_407.0,0.15838611
3584.0_267.0,0.15825051
3574.0_272.0,0.15809657
3574.0_357.0,0.15793392
3649.0_202.0,0.1574678
3509.0_407.0,0.1566341
3584.0_417.0,0.1562233
3559.0_187.0,0.15615523
3639.0_212.0,0.15501921
3539.0_202.0,0.15500663
3554.0_367.0,0.1546573
3564.0_302.0,0.1543993
3434.0_382.0,0.1541472
3484.0_307.0,0.15414129
3554.0_342.0,0.15399797
3524.0_402.0,0.15385048
3479.0_267.0,0.1536182
3559.0_357.0,0.15357491
3564.0_432.0,0.15341552
3554.0_352.0,0.15315829
3599.0_212.0,0.15303542
3639.0_242.0,0.15285711
3594.0_277.0,0.15283307
3559.0_452.0,0.15276004
3589.0_277.0,0.15271927
3559.0_207.0,0.15265025
3574.0_277.0,0.15257892
3579.0_317.0,0.15206768
3434.0_392.0,0.15157887
3589.0_247.0,0.1511164
3644.0_237.0,0.15110809
3589.0_262.0,0.15076032
3569.0_327.0,0.15073621
3574.0_397.0,0.15070178
3549.0_342.0,0.15054668
3584.0_342.0,0.15049855
3644.0_217.0,0.15040672
3624.0_142.0,0.14976324
3449.0_407.0,0.14974238
3534.0_437.0,0.1496612
3539.0_282.0,0.14935815
3569.0_387.0,0.14925396
3549.0_227.0,0.14907892
3584.0_237.0,0.14868383
3449.0_372.0,0.14866826
3524.0_407.0,0.14852175
3449.0_322.0,0.14802131
3459.0_412.0,0.1478675
3579.0_232.0,0.14785989
3589.0_202.0,0.14685787
3549.0_282.0,0.1465768
3624.0_197.0,0.14656155
3634.0_272.0,0.14652094
3479.0_442.0,0.14648108
3609.0_232.0,0.14629076
3654.0_232.0,0.14621598
3424.0_412.0,0.14602883
3494.0_452.0,0.14588958
3544.0_347.0,0.14573486
3634.0_122.0,0.14531247
3569.0_402.0,0.14506009
3644.0_252.0,0.14474645
3624.0_207.0,0.14466785
3479.0_367.0,0.14450854
3564.0_392.0,0.14394322
3584.0_212.0,0.1438446
3519.0_277.0,0.14361215
3564.0_262.0,0.14352936
3599.0_147.0,0.14344646
